"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dm_00003905",1543.64562630671,0.188989562173439,0.0495336060203785,3.81538065481619,0.000135973162145311,0.00025383137431746
"Dm_00003906",0.179017101756631,-1.3141950158117,4.0804728567969,-0.322069294891308,0.747400199055367,NA
"Dm_00003907",678.069799408084,-1.45654190929105,0.074808728418676,-19.4702134373859,1.96451284994095e-84,1.83194257720018e-83
"Dm_00003908",0,NA,NA,NA,NA,NA
"Dm_00003909",910.930556535191,-0.000733144871316762,0.0645780428698075,-0.0113528505779405,0.990941930381407,0.993299474118162
"Dm_00003910",460.923539711009,0.176662936171043,0.0859566910006756,2.05525520019907,0.0398543619739471,0.0569978997503889
"Dm_00003911",815.033232493186,0.128434920404336,0.0667469234454165,1.92420734581671,0.0543285987345699,0.0760999857274674
"Dm_00003912",423.572471108257,-0.177420596910388,0.088574394109273,-2.0030687050651,0.0451699144926653,0.0640617718436259
"Dm_00003913",0.354107467154668,1.70872085586733,2.98787344602713,0.571885284545554,0.567399693998884,NA
"Dm_00003914",1909.21214214284,0.0798703668059344,0.0452782549724261,1.76398951007663,0.0777337453134565,0.105971664040376
"Dm_00003915",821.005285081856,-0.815202570376848,0.0654059309628587,-12.4637408011174,1.17716498036816e-35,6.18823719311804e-35
"Dm_00003916",1.89940932165519,1.86771165543475,1.5028079109534,1.24281462841771,0.213936150676689,0.265627427306671
"Dm_00003917",544.845694213503,0.361022329711649,0.0803979703432777,4.4904408428494,7.10759138588678e-06,1.46340295106742e-05
"Dm_00003918",875.756376577005,-0.679985317264418,0.0651403971343762,-10.4387653004586,1.64942003593569e-25,7.09898316703683e-25
"Dm_00003919",616.131539961906,-1.44717921586207,0.0775952614598868,-18.6503555582476,1.2544030830158e-77,1.10839084121584e-76
"Dm_00003920",0.755123061686751,-1.89150050397362,2.21858242147154,-0.852571662728232,0.393896882612481,NA
"Dm_00003921",102.970809724426,0.145044721256841,0.181250849339812,0.800242988019926,0.42357002769715,0.486154610759561
"Dm_00003922",64.3617761744661,0.159502131430667,0.246621670582519,0.646748240144202,0.517794896385549,0.579991175413801
"Dm_00003923",23.0688142943599,-1.24535563243545,0.391972891509512,-3.17714734720432,0.00148731449908108,0.00253245441735427
"Dm_00003924",0.209327262426774,1.18783570854739,3.93896766085229,0.30156015758971,0.762987384371309,NA
"Dm_00003925",1878.75765736859,1.00141659117898,0.0481113811328152,20.8145467371741,3.19552866992116e-96,3.27787498564605e-95
"Dm_00003926",1186.00626184933,0.648057809662077,0.0557273829111207,11.6290731020989,2.93264603654561e-31,1.42379253266999e-30
"Dm_00003927",16.2244567920176,2.47274965591358,0.556923825009808,4.44001413634986,8.9952968827444e-06,1.83741052741481e-05
"Dm_00003928",3556.72504916914,0.940181658196656,0.0397156292076633,23.6728380477287,6.8690423914757e-124,8.59409041035138e-123
"Dm_00003929",1056.22147086068,0.791327273985901,0.0622417116826786,12.7137775069595,4.95802708122418e-37,2.65790115087937e-36
"Dm_00003930",4260.55206846887,0.0944024510845305,0.036350428201164,2.59701070265542,0.00940389939037032,0.0146726576359098
"Dm_00003931",4.09093691195779,1.82161217536609,0.983247148700266,1.85264933417203,0.0639326364103842,0.0884379363622898
"Dm_00003932",59.1590337114955,0.411380680484893,0.241630945608737,1.70251653590358,0.088658581347155,0.119753069867238
"Dm_00003933",329.128150656105,0.725011808100045,0.104332292574154,6.94906428500784,3.67716971388574e-12,1.05225446640915e-11
"Dm_00003934",27.3993505143985,1.07524544513187,0.361643042155566,2.97322309513516,0.00294690171911227,0.00486448538366356
"Dm_00003935",1781.53727222727,-0.311480306459797,0.0467242456127569,-6.66635281907591,2.62238412182196e-11,7.26010220024135e-11
"Dm_00003936",645.579934427762,0.376696604402542,0.0816101408960192,4.61580632341387,3.91571997876197e-06,8.18755404418517e-06
"Dm_00003937",207.277902258482,0.360436794722823,0.129186419237105,2.7900517473225,0.00526996178995157,0.00845921642720484
"Dm_00003938",0.512554657925736,2.34092369547327,2.55435874792577,0.916442804823001,0.359434693085292,NA
"Dm_00003939",0,NA,NA,NA,NA,NA
"Dm_00003940",947.658844313295,0.25809392297583,0.0610212936599172,4.22957147408632,2.34136882922563e-05,4.64039930706819e-05
"Dm_00003941",0,NA,NA,NA,NA,NA
"Dm_00003942",0,NA,NA,NA,NA,NA
"Dm_00003943",79.0967164427374,0.832197336641374,0.219464100815159,3.79195200285756,0.000149467806153811,0.000278114399310847
"Dm_00003944",126.254964399397,0.574704878611992,0.162895717190317,3.5280539508632,0.000418626824564751,0.000750825649706921
"Dm_00003945",2188.66842831011,0.539950728457201,0.0446427085128045,12.0949365852731,1.12328960067097e-33,5.69726788904496e-33
"Dm_00003946",6.33493270773857,3.41182899336,1.03593719936734,3.29347087395225,0.000989585937977461,0.0017135974655898
"Dm_00003947",0,NA,NA,NA,NA,NA
"Dm_00003948",457.392624976873,-6.34909404662134,0.243156959696396,-26.111093240139,2.72796485585078e-150,4.00485262599305e-149
"Dm_00003949",481.501698768816,0.154598784301622,0.0875359600201199,1.76611742495413,0.0773761506845467,0.105529119854608
"Dm_00003950",28.3782895339234,0.439795924868339,0.349144130525689,1.25964003520884,0.207799246228581,0.25879084272315
"Dm_00003951",268.608024232769,-0.16775243869491,0.114544195339953,-1.46452151675641,0.14305150842906,0.184709936083419
"Dm_00003952",0,NA,NA,NA,NA,NA
"Dm_00003953",330.546529129919,0.010133062071019,0.102223993879124,0.0991260631334852,0.921038178607366,0.93827686109467
"Dm_00003954",50.7601605312042,1.72362929625313,0.307279559003356,5.60931974077165,2.03123441559044e-08,4.86729756188654e-08
"Dm_00003955",210.334978592185,0.700481626781813,0.131714665167485,5.31817490399494,1.04813290277012e-07,2.4191868902535e-07
"Dm_00003956",841.05218653321,-0.155571297922043,0.0696800957319959,-2.23265046191099,0.0255720036185163,0.037610588410248
"Dm_00003957",1467.42104372588,0.0875201624026082,0.0502128034764818,1.74298498277636,0.0813362380185008,0.110571954869769
"Dm_00003958",72.2108079413768,-0.663506691493873,0.218156414480302,-3.04142646034266,0.00235460075082579,0.00393178766719339
"Dm_00003959",7499.66968136182,-11.78018491396,0.373473698964201,-31.5422075145622,2.29332401994657e-218,4.5530733209907e-217
"Dm_00003960",5.82738688966429,-0.0958893093389931,0.751155647463566,-0.127655712451585,0.898421439594802,0.919216104628901
"Dm_00003961",320.444749940007,0.338363619819369,0.108363844325737,3.12247707641549,0.00179336070834903,0.00303130432608019
"Dm_00003962",299.804632776533,-0.0696315636566109,0.105971782794806,-0.657076457715534,0.511131755646936,0.573531333978141
"Dm_00003963",705.776817703542,0.524146858082531,0.0709228621947531,7.39037937644467,1.46410468441052e-13,4.41856597910721e-13
"Dm_00003964",553.356692867954,-0.140230780588793,0.0784066953494914,-1.78850517757094,0.0736945410743478,0.10090357202633
"Dm_00003965",159.208868187272,0.00935926852387638,0.144321271675616,0.0648502359715395,0.948293243076783,0.959991679364502
"Dm_00003966",179.884662562878,1.16067089386076,0.147387657717927,7.87495311230244,3.40870666104962e-15,1.09596391380583e-14
"Dm_00003967",2.03070313458944,-1.03393489446599,1.270828472851,-0.813591225373196,0.415879166308619,0.478287941589084
"Dm_00003968",1347.68480108613,0.16635827551189,0.0530527686800141,3.1357133595661,0.00171436674459918,0.00290299435418794
"Dm_00003969",0,NA,NA,NA,NA,NA
"Dm_00003970",569.617064057662,0.0336191721064345,0.0781594082956275,0.430135959822962,0.66709674320874,0.718384679652858
"Dm_00003971",0.354715771890181,-0.347751909208879,3.04564910606688,-0.114179899620138,0.909095185471707,NA
"Dm_00003972",0.846126378502908,-1.94192173921325,2.16125719283247,-0.89851487627358,0.36891111786192,0.431276717418648
"Dm_00003973",842.144010903897,0.317798377091017,0.0679933401073997,4.67396331153956,2.95442131778451e-06,6.23291363575317e-06
"Dm_00003974",0,NA,NA,NA,NA,NA
"Dm_00003975",304.76894894447,3.23575576044212,0.15173900656427,21.3244823048949,6.72940889239661e-101,7.17415063931583e-100
"Dm_00003976",834.825823670383,-2.12030445010085,0.0729450805494278,-29.0671342622499,9.34742227455838e-186,1.64732875812206e-184
"Dm_00003977",522.768017582236,0.141782290376772,0.0817680547610941,1.73395699324173,0.0829257142164367,0.112541538367519
"Dm_00003978",399.501743783663,0.0347219227621255,0.0908844692420679,0.382044622713752,0.702428266360605,0.749950434901414
"Dm_00003979",3.03590512469738,0.263214609354292,1.0376815348376,0.253656445178516,0.799760985392831,0.834764548187077
"Dm_00003980",1.35994546409311,-4.04567119757312,1.81416439059464,-2.23004663664854,0.0257443469317759,0.0378362453712599
"Dm_00003981",276.492939683241,0.165850906710758,0.112228263390611,1.47779981352391,0.139461368318457,0.180496669025554
"Dm_00003982",938.849067027678,0.953343068944762,0.0662262504465571,14.3952445218696,5.54285020790066e-47,3.47285391647715e-46
"Dm_00003983",34.7079264480544,-0.9754654508405,0.308272143378286,-3.16429970009807,0.00155456624968546,0.00264190411294252
"Dm_00003984",487.898914947331,0.507147017634235,0.0846641552450076,5.99010308632518,2.09708071041253e-09,5.31225036061759e-09
"Dm_00003985",0,NA,NA,NA,NA,NA
"Dm_00003986",2.69427203710745,-3.02588411986585,1.3890773303099,-2.17834101373663,0.0293806578544618,0.0428382038257036
"Dm_00003987",20.9439469962921,0.188056733338682,0.405988271707351,0.463207305343637,0.64321578035625,0.696934189363667
"Dm_00003988",16.8904398505003,0.756648337237595,0.462315511074868,1.63664925599925,0.101703777426874,0.135735099781887
"Dm_00003989",461.788362499681,-0.00788618622208417,0.0895973565118218,-0.0880180680447156,0.929862315652752,0.945226498022911
"Dm_00003990",71.0845165510641,-0.301514375548704,0.216768039269116,-1.39095401963006,0.164239370269407,0.209298272123202
"Dm_00003991",1559.50298043463,0.225491411613842,0.0558667328866571,4.03623766708035,5.43151952438089e-05,0.000104944669680202
"Dm_00003992",33.0701086683538,-0.0505774948782788,0.32116589556588,-0.157480901853429,0.874865858199777,0.898908659491
"Dm_00003993",2.43960684769391,-1.71082318801025,1.24259223717132,-1.37681786255548,0.16856856679375,0.214235104902993
"Dm_00003994",110.179943938039,0.258373755598077,0.186496282902297,1.38540967989928,0.165927232793422,0.211213712446134
"Dm_00003995",3858.32241074029,-0.821346938520461,0.0418715265706752,-19.615882337944,1.13156298161138e-85,1.06513357833796e-84
"Dm_00003996",250.706211905555,-1.28290757503492,0.119708617982207,-10.7169191045678,8.47804528840296e-27,3.75909339720211e-26
"Dm_00003997",2519.63371291101,0.241533900523535,0.0410448620547112,5.88463180121255,3.98941115193913e-09,9.95455438224387e-09
"Dm_00003998",232.9396353069,-0.669789374205783,0.126972838148912,-5.27506027249909,1.3271246292296e-07,3.03988667577041e-07
"Dm_00003999",988.254278595361,-1.34987234040888,0.0646777321159809,-20.8707432410937,9.878591078057e-97,1.01722789209182e-95
"Dm_00004000",133.478787220406,0.969407855721183,0.169721187425378,5.71176687146033,1.1180918787111e-08,2.71951759281578e-08
"Dm_00004001",1.78199781142409,2.02934585915991,1.602247114178,1.26656234310088,0.205311824425553,0.255932056902524
"Dm_00004002",0.104596103843999,0.60585189124226,4.08001605705865,0.148492526198298,0.881954083799228,NA
"Dm_00004003",14.1064497567413,4.16240949724665,0.831774213079268,5.00425407736218,5.6078751999047e-07,1.23826713052125e-06
"Dm_00004004",125.85640789968,-3.39271712443674,0.216449992954428,-15.6743692994763,2.26461737337499e-55,1.60276015960843e-54
"Dm_00004005",1796.77870820979,-0.337655954261651,0.0483201961988484,-6.98788458706007,2.79061795402562e-12,8.02722784474528e-12
"Dm_00004006",2570.98775017092,-0.0295687666704896,0.0418386169659066,-0.706733845781389,0.479731892234968,0.542520829649749
"Dm_00004007",4089.85682095559,0.530016206178642,0.038217745471962,13.8683273864881,9.85480726718317e-44,5.9128843603099e-43
"Dm_00004008",446.017609836589,0.625858437830273,0.0904887180624483,6.91642506636412,4.63183237534917e-12,1.31860134620775e-11
"Dm_00004009",39.2952574874083,-0.405359124830028,0.308046463733125,-1.31590254248531,0.188206755301423,0.236358852482606
"Dm_00004010",2576.8499963317,-0.512381736635221,0.0464052090225163,-11.0414702881008,2.4105603919028e-28,1.09959485151735e-27
"Dm_00004011",0,NA,NA,NA,NA,NA
"Dm_00004012",0,NA,NA,NA,NA,NA
"Dm_00004013",250.236629802908,0.28247803802867,0.117206778757883,2.41008277014585,0.0159489017798395,0.0241726014662806
"Dm_00004014",2160.13801889106,3.46838844310641,0.0601050022520315,57.7054872831186,0,0
"Dm_00004015",319.742043216317,0.512776918953083,0.10829810664203,4.73486503922015,2.19200912095763e-06,4.66319196404734e-06
"Dm_00004016",1012.07059549669,0.133099866735809,0.059056030503058,2.25378958934459,0.0242094080593814,0.0357016816667792
"Dm_00004017",335.609197928422,-1.54951283294376,0.10732782484069,-14.4371959018433,3.01875910177888e-47,1.9003219176501e-46
"Dm_00004018",1095.09411894384,1.36645445385134,0.0652704075829037,20.9352829935332,2.55543125092246e-97,2.63989740976509e-96
"Dm_00004019",479.269166043177,0.687653017922702,0.0879705080563497,7.8168585485743,5.4157903222936e-15,1.72842993094021e-14
"Dm_00004020",86.0192604541796,-0.47362398941083,0.196522569561389,-2.41002339053419,0.0159514978054193,0.0241742464137058
"Dm_00004021",521.535383142711,0.0134350186102458,0.0810703615123682,0.165720472434259,0.868376934157204,0.893790937182967
"Dm_00004022",72.101223472918,4.0729599305588,0.358722746568025,11.3540609552242,7.07964511221331e-30,3.34282918517667e-29
"Dm_00004023",25.1164670163519,-4.24002674567036,0.577740662062563,-7.33897927581079,2.15228932258593e-13,6.43996517203068e-13
"Dm_00004024",0.354072351742435,1.70817141665761,2.98799204596661,0.571678702747358,0.567539665350894,NA
"Dm_00004025",291.041569422859,0.49879314981136,0.113937597658927,4.37777485272684,1.19897111803381e-05,2.4276775693758e-05
"Dm_00004026",1154.07196943847,1.37988198589101,0.0596875394711026,23.1184263603138,3.02205959829651e-118,3.64149079005578e-117
"Dm_00004027",333.378662841252,-0.414424907207659,0.101788412154127,-4.0714350330973,4.67243944814375e-05,9.07163019281683e-05
"Dm_00004028",202.607818391675,0.258372570298021,0.13077809691132,1.97565629413634,0.0481937181556461,0.0680366897156285
"Dm_00004029",423.893068779038,0.044279653856968,0.0906932034654812,0.488235635802867,0.625382945791662,0.68082032101219
"Dm_00004030",1631.23153753639,-0.348005376689444,0.047920333333433,-7.26216519129778,3.80942560127098e-13,1.12885978650997e-12
"Dm_00004031",144.034733879687,-0.0909711293385619,0.160137923630612,-0.568079860635658,0.569980742125915,0.630414144007388
"Dm_00004032",2.76307352208793,-0.790908379664303,1.15917519024621,-0.682302715171392,0.495047556553538,0.558144930597458
"Dm_00004033",268.501593259301,0.242551646063591,0.117705883910898,2.0606586349345,0.0393356185792823,0.0563063394315839
"Dm_00004034",2510.61169234126,-0.635091223127958,0.0434872312820527,-14.6040850246095,2.64509548226362e-48,1.69782663085369e-47
"Dm_00004035",1834.07900003655,-0.533617460717719,0.0478703822189124,-11.1471318168607,7.39517928415215e-29,3.42511313762671e-28
"Dm_00004036",6.64739670472863,-1.30425017871406,0.753305478031342,-1.73136956619848,0.0833858710743085,0.113137248510351
"Dm_00004037",626.750645339279,-0.268655856903523,0.077048905036871,-3.48682251584185,0.000488795625415074,0.000870142129034599
"Dm_00004038",48.1755340173677,0.715340912219466,0.275256510098825,2.59881559917561,0.00935460099178543,0.0146041292751757
"Dm_00004039",400.602819867941,-3.91688837614281,0.137970739350922,-28.3892685838292,2.74350580235821e-177,4.64075896927443e-176
"Dm_00004040",729.707455576424,0.20777121069817,0.0706336440101215,2.94153322556029,0.00326591804473116,0.00536379222077192
"Dm_00004041",240.969999134717,-0.543197013569785,0.120977028052341,-4.49008396317002,7.11951039459983e-06,1.46566840774973e-05
"Dm_00004042",4978.85051128067,1.63834637168516,0.0350280156263604,46.7724574854941,0,0
"Dm_00004043",0.36144521732584,1.85416037026128,2.91981344938304,0.635026998266983,0.525410806876544,NA
"Dm_00004044",117.882367709207,-0.0212583988754043,0.16741491565687,-0.126980315893567,0.89895597806498,0.919645413693633
"Dm_00004045",212.874219200425,3.08898206529337,0.169321203210307,18.2433269237797,2.3378580466897e-74,2.00484482653422e-73
"Dm_00004046",310.212118241316,0.559108216901945,0.106735485575575,5.23825992721102,1.62097658202125e-07,3.69289112549887e-07
"Dm_00004047",219.855446436248,-1.07074030980059,0.127951590064281,-8.36832359224818,5.84437155027392e-17,1.98982199037198e-16
"Dm_00004048",109.916040055024,-1.0360135251088,0.180353541293191,-5.74434811581884,9.22757783977128e-09,2.2540024514123e-08
"Dm_00004049",83.2228229112368,0.696822867383775,0.203601876576561,3.42247762692769,0.000620532043603685,0.00109491165087068
"Dm_00004050",54.7185362971225,1.64386359470766,0.269880848161816,6.0910716929496,1.12157305613883e-09,2.87987998143993e-09
"Dm_00004051",174.374100444614,1.42523451010017,0.151627616953377,9.399570729509,5.47861292130749e-21,2.10489229211915e-20
"Dm_00004052",1187.23551163374,1.33100248066646,0.0586876529602213,22.6794293779071,7.15103899029994e-114,8.37095288389025e-113
"Dm_00004053",41854.3231909802,1.99842210246469,0.0610167875286477,32.7520045450839,2.8431437748165e-235,6.04196370313594e-234
"Dm_00004054",587.538481367322,1.24488218394734,0.083405556695475,14.9256504394854,2.24436357859366e-50,1.48836742580421e-49
"Dm_00004055",68.8724542976909,0.882607530469513,0.222640915530816,3.96426473707772,7.36225133656091e-05,0.000140837711760487
"Dm_00004056",0.424385581268813,-2.33237646269471,2.80929375042302,-0.830235877733862,0.406405434043689,NA
"Dm_00004057",345.795672656068,0.287283448743534,0.100756110423599,2.85127569470216,0.00435441964831176,0.00704401771252373
